Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/27  01:00:00,43200.0 
 01/27  02:00:00,43200.0 
 01/27  03:00:00,43200.0 
 01/27  04:00:00,43200.0 
 01/27  05:00:00,43200.0 
 01/27  06:00:00,7243200.000000001 
 01/27  07:00:00,7401600.0 
 01/27  08:00:00,7552800.0 
 01/27  09:00:00,7492296.947327495 
 01/27  10:00:00,7430400.0 
 01/27  11:00:00,7394400.0 
 01/27  12:00:00,7437600.0 
 01/27  13:00:00,7495200.0 
 01/27  14:00:00,7452000.0 
 01/27  15:00:00,7444800.0 
 01/27  16:00:00,7408800.0 
 01/27  17:00:00,7430400.0 
 01/27  18:00:00,7560000.0 
 01/27  19:00:00,6092638.03216053 
 01/27  20:00:00,7440299.57254899 
 01/27  21:00:00,259200.0 
 01/27  22:00:00,324000.0 
 01/27  23:00:00,216000.0 
 01/27  24:00:00,57600.0 
